month,monthly_revenue,prev_month,growth_pct
2022-01,3089627.52,NULL,NULL
2022-02,2775229.50,3089627.52,-10.18
2022-03,3006391.78,2775229.50,8.33
2022-04,3029724.95,3006391.78,0.78
2022-05,2857673.32,3029724.95,-5.68
2022-06,2975404.98,2857673.32,4.12
2022-07,3054149.46,2975404.98,2.65
2022-08,3081954.23,3054149.46,0.91
2022-09,2840181.80,3081954.23,-7.84
2022-10,2859255.20,2840181.80,0.67
2022-11,2780149.18,2859255.20,-2.77
2022-12,3083666.47,2780149.18,10.92
2023-01,2923554.78,3083666.47,-5.19
2023-02,2740444.45,2923554.78,-6.26
2023-03,3009766.01,2740444.45,9.83
2023-04,2948910.85,3009766.01,-2.02
2023-05,3159685.27,2948910.85,7.15
2023-06,3025028.35,3159685.27,-4.26
2023-07,2942388.50,3025028.35,-2.73
2023-08,2962116.66,2942388.50,0.67
2023-09,3015383.61,2962116.66,1.80
2023-10,3242396.34,3015383.61,7.53
2023-11,2951544.92,3242396.34,-8.97
2023-12,3050249.15,2951544.92,3.34
2024-01,3094231.98,3050249.15,1.44
2024-02,2843274.82,3094231.98,-8.11
2024-03,2914275.28,2843274.82,2.50
2024-04,3003299.47,2914275.28,3.05
2024-05,3072561.82,3003299.47,2.31
2024-06,2927015.50,3072561.82,-4.74
2024-07,3025310.52,2927015.50,3.36
2024-08,3038797.03,3025310.52,0.45
2024-09,2808544.02,3038797.03,-7.58
