month,monthly_revenue,total_orders
2022-01,3089627.52,3078
2022-02,2775229.50,2726
2022-03,3006391.78,3196
2022-04,3029724.95,3015
2022-05,2857673.32,2966
2022-06,2975404.98,2937
2022-07,3054149.46,3174
2022-08,3081954.23,3059
2022-09,2840181.80,2917
2022-10,2859255.20,2995
2022-11,2780149.18,2995
2022-12,3083666.47,3068
2023-01,2923554.78,3110
2023-02,2740444.45,2850
2023-03,3009766.01,3084
2023-04,2948910.85,3021
2023-05,3159685.27,3171
2023-06,3025028.35,3065
2023-07,2942388.50,2997
2023-08,2962116.66,3045
2023-09,3015383.61,3051
2023-10,3242396.34,3180
2023-11,2951544.92,3060
2023-12,3050249.15,3159
2024-01,3094231.98,3037
2024-02,2843274.82,2926
2024-03,2914275.28,3020
2024-04,3003299.47,3049
2024-05,3072561.82,3068
2024-06,2927015.50,2947
2024-07,3025310.52,3144
2024-08,3038797.03,3112
2024-09,2808544.02,2778
